gedung_asal,gedung_tujuan
G0020,G0183
G0021,G0023
G0021,G0077
G0021,G0088
G0021,G0139
G0021,G0159
G0021,G0170
G0021,G0186
G0021,G0214
G0021,G0218
G0022,G0036
G0022,G0040
G0022,G0049
G0022,G0073
G0022,G0078
G0022,G0085
G0022,G0165
G0022,G0187
G0023,G0024
G0023,G0045
G0023,G0046
G0023,G0240
G0024,G0063
G0024,G0086
G0024,G0134
G0024,G0163
G0024,G0249
G0025,G0043
G0025,G0054
G0025,G0065
G0025,G0169
G0026,G0031
G0026,G0145
G0026,G0166
G0026,G0190
G0026,G0214
G0027,G0080
G0027,G0126
G0027,G0170
G0027,G0171
G0027,G0179
G0028,G0032
G0028,G0035
G0028,G0064
G0028,G0105
G0028,G0109
G0028,G0126
G0028,G0149
G0028,G0162
G0028,G0180
G0028,G0191
G0028,G0227
G0029,G0095
G0029,G0136
G0029,G0152
G0029,G0179
G0030,G0051
G0030,G0068
G0030,G0071
G0030,G0099
G0030,G0123
G0030,G0131
G0030,G0148
G0030,G0172
G0030,G0200
G0030,G0225
G0030,G0228
G0031,G0064
G0031,G0185
G0031,G0191
G0031,G0204
G0031,G0216
G0031,G0242
G0032,G0087
G0032,G0117
G0032,G0118
G0032,G0218
G0033,G0050
G0033,G0111
G0033,G0122
G0033,G0137
G0033,G0160
G0033,G0164
G0033,G0191
G0033,G0192
G0034,G0068
G0034,G0102
G0034,G0116
G0034,G0122
G0034,G0198
G0034,G0246
G0035,G0052
G0035,G0068
G0035,G0081
G0035,G0091
G0035,G0103
G0035,G0110
G0035,G0206
G0036,G0039
G0036,G0056
G0036,G0074
G0036,G0109
G0036,G0131
G0037,G0064
G0038,G0051
G0038,G0069
G0038,G0142
G0038,G0168
G0039,G0047
G0039,G0140
G0039,G0208
G0040,G0049
G0040,G0060
G0040,G0062
G0040,G0112
G0040,G0137
G0040,G0142
G0040,G0169
G0040,G0178
G0040,G0192
G0041,G0059
G0041,G0062
G0041,G0101
G0041,G0108
G0041,G0113
G0041,G0138
G0041,G0155
G0041,G0202
G0041,G0230
G0042,G0097
G0042,G0171
G0042,G0190
G0042,G0210
G0042,G0250
G0043,G0105
G0043,G0156
G0043,G0196
G0043,G0216
G0044,G0169
G0045,G0142
G0045,G0232
G0046,G0057
G0046,G0078
G0046,G0079
G0046,G0149
G0046,G0160
G0046,G0188
G0046,G0189
G0046,G0226
G0047,G0050
G0047,G0072
G0047,G0076
G0047,G0084
G0048,G0050
G0048,G0078
G0048,G0248
G0049,G0050
G0049,G0073
G0049,G0090
G0049,G0105
G0049,G0148
G0050,G0076
G0050,G0081
G0050,G0148
G0050,G0169
G0051,G0112
G0051,G0168
G0051,G0172
G0051,G0184
G0052,G0102
G0052,G0128
G0052,G0206
G0052,G0210
G0052,G0215
G0053,G0172
G0053,G0176
G0053,G0214
G0054,G0058
G0054,G0074
G0054,G0092
G0054,G0155
G0054,G0161
G0055,G0068
G0055,G0084
G0055,G0125
G0055,G0130
G0055,G0131
G0055,G0181
G0055,G0201
G0055,G0222
G0055,G0244
G0056,G0062
G0056,G0076
G0056,G0120
G0056,G0190
G0057,G0061
G0057,G0070
G0057,G0076
G0057,G0121
G0057,G0125
G0057,G0130
G0057,G0226
G0058,G0090
G0058,G0159
G0058,G0207
G0058,G0218
G0059,G0075
G0059,G0093
G0059,G0114
G0059,G0224
G0059,G0232
G0060,G0065
G0060,G0074
G0060,G0089
G0060,G0099
G0061,G0074
G0061,G0104
G0061,G0193
G0061,G0218
G0061,G0222
G0061,G0240
G0062,G0068
G0062,G0161
G0062,G0177
G0062,G0182
G0062,G0184
G0062,G0185
G0063,G0079
G0063,G0103
G0063,G0116
G0063,G0122
G0063,G0161
G0063,G0201
G0063,G0213
G0063,G0226
G0064,G0069
G0064,G0111
G0064,G0119
G0064,G0143
G0064,G0149
G0064,G0175
G0064,G0216
G0064,G0217
G0064,G0244
G0065,G0108
G0065,G0126
G0065,G0145
G0066,G0180
G0067,G0088
G0067,G0098
G0067,G0193
G0067,G0240
G0067,G0249
G0068,G0100
G0068,G0130
G0068,G0158
G0068,G0164
G0068,G0197
G0068,G0247
G0069,G0086
G0069,G0121
G0069,G0150
G0069,G0152
G0070,G0073
G0070,G0079
G0070,G0086
G0070,G0167
G0071,G0113
G0071,G0124
G0071,G0164
G0071,G0226
G0072,G0094
G0072,G0120
G0072,G0193
G0072,G0198
G0072,G0222
G0072,G0226
G0072,G0241
G0073,G0095
G0073,G0106
G0073,G0147
G0073,G0153
G0073,G0181
G0074,G0109
G0075,G0124
G0075,G0127
G0075,G0142
G0076,G0142
G0076,G0153
G0077,G0091
G0077,G0118
G0077,G0130
G0077,G0164
G0077,G0221
G0077,G0239
G0078,G0083
G0078,G0104
G0078,G0181
G0078,G0198
G0079,G0090
G0079,G0146
G0079,G0181
G0080,G0148
G0080,G0171
G0080,G0173
G0080,G0208
G0080,G0247
G0081,G0134
G0081,G0170
G0081,G0184
G0081,G0192
G0081,G0202
G0081,G0238
G0082,G0084
G0082,G0092
G0082,G0153
G0082,G0229
G0083,G0113
G0083,G0168
G0083,G0176
G0083,G0219
G0084,G0105
G0084,G0110
G0084,G0117
G0085,G0091
G0085,G0103
G0085,G0105
G0085,G0138
G0085,G0160
G0085,G0237
G0086,G0237
G0087,G0172
G0087,G0187
G0087,G0195
G0087,G0220
G0088,G0096
G0088,G0113
G0088,G0151
G0088,G0166
G0088,G0184
G0089,G0093
G0089,G0109
G0089,G0187
G0090,G0165
G0090,G0239
G0091,G0111
G0091,G0200
G0091,G0205
G0092,G0107
G0093,G0129
G0093,G0163
G0093,G0180
G0094,G0111
G0094,G0231
G0095,G0122
G0095,G0150
G0095,G0170
G0095,G0197
G0096,G0119
G0096,G0123
G0096,G0170
G0096,G0212
G0097,G0246
G0098,G0116
G0098,G0123
G0098,G0142
G0098,G0172
G0098,G0224
G0098,G0226
G0098,G0241
G0099,G0127
G0099,G0141
G0099,G0231
G0100,G0108
G0100,G0193
G0101,G0233
G0102,G0242
G0103,G0126
G0103,G0131
G0103,G0209
G0103,G0232
G0104,G0178
G0104,G0179
G0104,G0186
G0105,G0126
G0105,G0224
G0106,G0109
G0106,G0206
G0107,G0117
G0107,G0156
G0108,G0138
G0108,G0169
G0108,G0171
G0108,G0211
G0109,G0139
G0109,G0200
G0109,G0213
G0110,G0130
G0110,G0137
G0110,G0151
G0110,G0181
G0111,G0202
G0111,G0246
G0112,G0120
G0112,G0125
G0112,G0153
G0112,G0154
G0112,G0156
G0112,G0182
G0113,G0213
G0114,G0120
G0114,G0142
G0114,G0173
G0114,G0229
G0114,G0233
G0115,G0126
G0115,G0138
G0115,G0141
G0115,G0203
G0116,G0122
G0116,G0177
G0116,G0215
G0117,G0156
G0117,G0180
G0117,G0201
G0118,G0160
G0118,G0182
G0118,G0236
G0119,G0171
G0119,G0193
G0119,G0222
G0120,G0139
G0120,G0143
G0120,G0222
G0120,G0236
G0121,G0123
G0121,G0153
G0122,G0148
G0122,G0166
G0122,G0194
G0122,G0204
G0122,G0207
G0123,G0150
G0124,G0125
G0124,G0199
G0125,G0134
G0125,G0184
G0125,G0188
G0125,G0243
G0126,G0177
G0126,G0183
G0127,G0133
G0127,G0218
G0129,G0159
G0129,G0236
G0130,G0161
G0130,G0166
G0131,G0132
G0131,G0246
G0132,G0170
G0132,G0239
G0133,G0179
G0133,G0214
G0133,G0243
G0134,G0199
G0134,G0248
G0135,G0195
G0136,G0142
G0136,G0144
G0136,G0168
G0136,G0173
G0136,G0198
G0136,G0219
G0137,G0190
G0138,G0149
G0138,G0176
G0138,G0236
G0138,G0244
G0139,G0167
G0139,G0172
G0139,G0192
G0139,G0202
G0139,G0245
G0140,G0205
G0140,G0214
G0141,G0191
G0141,G0195
G0141,G0214
G0141,G0220
G0142,G0146
G0142,G0210
G0142,G0223
G0143,G0170
G0143,G0195
G0143,G0196
G0144,G0227
G0145,G0150
G0145,G0152
G0145,G0201
G0145,G0243
G0146,G0157
G0146,G0158
G0146,G0185
G0146,G0228
G0147,G0250
G0148,G0196
G0149,G0156
G0149,G0170
G0149,G0189
G0150,G0243
G0151,G0186
G0151,G0222
G0151,G0225
G0153,G0180
G0153,G0203
G0154,G0175
G0154,G0207
G0155,G0230
G0156,G0167
G0156,G0199
G0156,G0247
G0157,G0207
G0157,G0209
G0157,G0218
G0157,G0246
G0158,G0207
G0159,G0163
G0159,G0250
G0161,G0163
G0162,G0176
G0162,G0227
G0162,G0230
G0163,G0219
G0164,G0165
G0166,G0172
G0167,G0211
G0168,G0173
G0169,G0193
G0171,G0236
G0172,G0210
G0172,G0222
G0172,G0242
G0173,G0221
G0174,G0192
G0174,G0205
G0174,G0216
G0174,G0233
G0176,G0218
G0177,G0196
G0177,G0205
G0177,G0213
G0177,G0232
G0179,G0184
G0179,G0242
G0179,G0246
G0180,G0221
G0182,G0229
G0183,G0207
G0184,G0192
G0185,G0229
G0185,G0231
G0185,G0241
G0186,G0247
G0187,G0204
G0188,G0201
G0188,G0212
G0189,G0190
G0189,G0192
G0189,G0204
G0189,G0208
G0191,G0221
G0193,G0223
G0193,G0229
G0193,G0238
G0193,G0240
G0194,G0203
G0194,G0244
G0196,G0243
G0197,G0200
G0198,G0221
G0198,G0232
G0200,G0246
G0201,G0238
G0201,G0239
G0204,G0211
G0204,G0239
G0205,G0208
G0205,G0221
G0206,G0246
G0207,G0221
G0207,G0237
G0210,G0244
G0213,G0229
G0213,G0233
G0213,G0244
G0214,G0245
G0218,G0235
G0219,G0229
G0220,G0226
G0221,G0236
G0221,G0241
G0221,G0249
G0224,G0237
G0225,G0241
G0226,G0249
G0227,G0242
G0231,G0246
G0232,G0233
G0232,G0234
G0237,G0239
G0240,G0248
