kode_gedung,nama_gedung
G0096,Gedung 0096
G0097,Gedung 0097
G0098,Gedung 0098
G0099,Gedung 0099
G0100,Gedung 0100
G0101,Gedung 0101
G0102,Gedung 0102
G0103,Gedung 0103
G0104,Gedung 0104
G0105,Gedung 0105
G0106,Gedung 0106
G0107,Gedung 0107
G0108,Gedung 0108
G0109,Gedung 0109
G0110,Gedung 0110
G0111,Gedung 0111
G0112,Gedung 0112
G0113,Gedung 0113
G0114,Gedung 0114
G0115,Gedung 0115
G0116,Gedung 0116
G0117,Gedung 0117
G0118,Gedung 0118
G0119,Gedung 0119
G0120,Gedung 0120
G0121,Gedung 0121
G0122,Gedung 0122
G0123,Gedung 0123
G0124,Gedung 0124
G0125,Gedung 0125
G0126,Gedung 0126
G0127,Gedung 0127
G0128,Gedung 0128
G0129,Gedung 0129
G0130,Gedung 0130
G0131,Gedung 0131
G0132,Gedung 0132
G0133,Gedung 0133
G0134,Gedung 0134
G0135,Gedung 0135
G0136,Gedung 0136
G0137,Gedung 0137
G0138,Gedung 0138
G0139,Gedung 0139
G0140,Gedung 0140
G0141,Gedung 0141
G0142,Gedung 0142
G0143,Gedung 0143
G0144,Gedung 0144
G0145,Gedung 0145
G0146,Gedung 0146
G0147,Gedung 0147
G0148,Gedung 0148
G0149,Gedung 0149
G0150,Gedung 0150
G0151,Gedung 0151
G0152,Gedung 0152
G0153,Gedung 0153
G0154,Gedung 0154
G0155,Gedung 0155
G0156,Gedung 0156
G0157,Gedung 0157
G0158,Gedung 0158
G0159,Gedung 0159
G0160,Gedung 0160
G0161,Gedung 0161
G0162,Gedung 0162
G0163,Gedung 0163
G0164,Gedung 0164
G0165,Gedung 0165
G0166,Gedung 0166
G0167,Gedung 0167
G0168,Gedung 0168
G0169,Gedung 0169
G0170,Gedung 0170
G0171,Gedung 0171
G0172,Gedung 0172
G0173,Gedung 0173
G0174,Gedung 0174
G0175,Gedung 0175
G0176,Gedung 0176
G0177,Gedung 0177
G0178,Gedung 0178
G0179,Gedung 0179
G0180,Gedung 0180
G0181,Gedung 0181
G0182,Gedung 0182
G0183,Gedung 0183
G0184,Gedung 0184
G0185,Gedung 0185
G0186,Gedung 0186
G0187,Gedung 0187
G0188,Gedung 0188
G0189,Gedung 0189
G0190,Gedung 0190
G0191,Gedung 0191
G0192,Gedung 0192
G0193,Gedung 0193
G0194,Gedung 0194
G0195,Gedung 0195
G0196,Gedung 0196
G0197,Gedung 0197
G0198,Gedung 0198
G0199,Gedung 0199
G0200,Gedung 0200
G0201,Gedung 0201
G0202,Gedung 0202
G0203,Gedung 0203
G0204,Gedung 0204
G0205,Gedung 0205
G0206,Gedung 0206
G0207,Gedung 0207
G0208,Gedung 0208
G0209,Gedung 0209
G0210,Gedung 0210
G0211,Gedung 0211
G0212,Gedung 0212
G0213,Gedung 0213
G0214,Gedung 0214
G0215,Gedung 0215
G0216,Gedung 0216
G0217,Gedung 0217
G0218,Gedung 0218
G0219,Gedung 0219
G0220,Gedung 0220
G0221,Gedung 0221
G0222,Gedung 0222
G0223,Gedung 0223
G0224,Gedung 0224
G0225,Gedung 0225
G0226,Gedung 0226
G0227,Gedung 0227
G0228,Gedung 0228
G0229,Gedung 0229
G0230,Gedung 0230
G0231,Gedung 0231
G0232,Gedung 0232
G0233,Gedung 0233
G0234,Gedung 0234
G0235,Gedung 0235
G0236,Gedung 0236
G0237,Gedung 0237
G0238,Gedung 0238
G0239,Gedung 0239
G0240,Gedung 0240
G0241,Gedung 0241
G0242,Gedung 0242
G0243,Gedung 0243
G0244,Gedung 0244
G0245,Gedung 0245
G0246,Gedung 0246
G0247,Gedung 0247
G0248,Gedung 0248
G0249,Gedung 0249
G0250,Gedung 0250
G0251,Gedung 0251
G0252,Gedung 0252
G0253,Gedung 0253
G0254,Gedung 0254
G0255,Gedung 0255
G0256,Gedung 0256
G0257,Gedung 0257
G0258,Gedung 0258
G0259,Gedung 0259
G0260,Gedung 0260
G0261,Gedung 0261
G0262,Gedung 0262
G0263,Gedung 0263
G0264,Gedung 0264
G0265,Gedung 0265
G0266,Gedung 0266
G0267,Gedung 0267
G0268,Gedung 0268
G0269,Gedung 0269
G0270,Gedung 0270
G0271,Gedung 0271
G0272,Gedung 0272
G0273,Gedung 0273
G0274,Gedung 0274
G0275,Gedung 0275
G0276,Gedung 0276
G0277,Gedung 0277
G0278,Gedung 0278
G0279,Gedung 0279
G0280,Gedung 0280
G0281,Gedung 0281
G0282,Gedung 0282
G0283,Gedung 0283
G0284,Gedung 0284
G0285,Gedung 0285
G0286,Gedung 0286
G0287,Gedung 0287
G0288,Gedung 0288
G0289,Gedung 0289
G0290,Gedung 0290
G0291,Gedung 0291
G0292,Gedung 0292
G0293,Gedung 0293
G0294,Gedung 0294
G0295,Gedung 0295
G0296,Gedung 0296
G0297,Gedung 0297
G0298,Gedung 0298
G0299,Gedung 0299
G0300,Gedung 0300
G0301,Gedung 0301
G0302,Gedung 0302
G0303,Gedung 0303
G0304,Gedung 0304
G0305,Gedung 0305
G0306,Gedung 0306
G0307,Gedung 0307
G0308,Gedung 0308
G0309,Gedung 0309
G0310,Gedung 0310
G0311,Gedung 0311
G0312,Gedung 0312
G0313,Gedung 0313
G0314,Gedung 0314
G0315,Gedung 0315
G0316,Gedung 0316
G0317,Gedung 0317
G0318,Gedung 0318
G0319,Gedung 0319
G0320,Gedung 0320
G0321,Gedung 0321
G0322,Gedung 0322
G0323,Gedung 0323
G0324,Gedung 0324
G0325,Gedung 0325
G0326,Gedung 0326
G0327,Gedung 0327
G0328,Gedung 0328
G0329,Gedung 0329
G0330,Gedung 0330
G0331,Gedung 0331
G0332,Gedung 0332
G0333,Gedung 0333
G0334,Gedung 0334
G0335,Gedung 0335
G0336,Gedung 0336
G0337,Gedung 0337
G0338,Gedung 0338
G0339,Gedung 0339
G0340,Gedung 0340
G0341,Gedung 0341
G0342,Gedung 0342
G0343,Gedung 0343
G0344,Gedung 0344
G0345,Gedung 0345
G0346,Gedung 0346
G0347,Gedung 0347
G0348,Gedung 0348
G0349,Gedung 0349
G0350,Gedung 0350
G0351,Gedung 0351
G0352,Gedung 0352
G0353,Gedung 0353
G0354,Gedung 0354
G0355,Gedung 0355
G0356,Gedung 0356
G0357,Gedung 0357
G0358,Gedung 0358
G0359,Gedung 0359
G0360,Gedung 0360
G0361,Gedung 0361
G0362,Gedung 0362
G0363,Gedung 0363
G0364,Gedung 0364
G0365,Gedung 0365
G0366,Gedung 0366
G0367,Gedung 0367
G0368,Gedung 0368
G0369,Gedung 0369
G0370,Gedung 0370
G0371,Gedung 0371
G0372,Gedung 0372
G0373,Gedung 0373
G0374,Gedung 0374
G0375,Gedung 0375
G0376,Gedung 0376
G0377,Gedung 0377
G0378,Gedung 0378
G0379,Gedung 0379
G0380,Gedung 0380
G0381,Gedung 0381
G0382,Gedung 0382
G0383,Gedung 0383
G0384,Gedung 0384
G0385,Gedung 0385
G0386,Gedung 0386
G0387,Gedung 0387
G0388,Gedung 0388
G0389,Gedung 0389
G0390,Gedung 0390
G0391,Gedung 0391
G0392,Gedung 0392
G0393,Gedung 0393
G0394,Gedung 0394
G0395,Gedung 0395
G0396,Gedung 0396
G0397,Gedung 0397
G0398,Gedung 0398
G0399,Gedung 0399
G0400,Gedung 0400
G0401,Gedung 0401
G0402,Gedung 0402
G0403,Gedung 0403
G0404,Gedung 0404
G0405,Gedung 0405
G0406,Gedung 0406
G0407,Gedung 0407
G0408,Gedung 0408
G0409,Gedung 0409
G0410,Gedung 0410
G0411,Gedung 0411
G0412,Gedung 0412
G0413,Gedung 0413
G0414,Gedung 0414
G0415,Gedung 0415
G0416,Gedung 0416
G0417,Gedung 0417
G0418,Gedung 0418
G0419,Gedung 0419
G0420,Gedung 0420
G0421,Gedung 0421
G0422,Gedung 0422
G0423,Gedung 0423
G0424,Gedung 0424
G0425,Gedung 0425
G0426,Gedung 0426
G0427,Gedung 0427
G0428,Gedung 0428
G0429,Gedung 0429
G0430,Gedung 0430
G0431,Gedung 0431
G0432,Gedung 0432
G0433,Gedung 0433
G0434,Gedung 0434
G0435,Gedung 0435
G0436,Gedung 0436
G0437,Gedung 0437
G0438,Gedung 0438
G0439,Gedung 0439
G0440,Gedung 0440
G0441,Gedung 0441
G0442,Gedung 0442
G0443,Gedung 0443
G0444,Gedung 0444
G0445,Gedung 0445
G0446,Gedung 0446
G0447,Gedung 0447
G0448,Gedung 0448
G0449,Gedung 0449
G0450,Gedung 0450
G0451,Gedung 0451
G0452,Gedung 0452
G0453,Gedung 0453
G0454,Gedung 0454
G0455,Gedung 0455
G0456,Gedung 0456
G0457,Gedung 0457
G0458,Gedung 0458
G0459,Gedung 0459
G0460,Gedung 0460
G0461,Gedung 0461
G0462,Gedung 0462
G0463,Gedung 0463
G0464,Gedung 0464
G0465,Gedung 0465
G0466,Gedung 0466
G0467,Gedung 0467
G0468,Gedung 0468
G0469,Gedung 0469
G0470,Gedung 0470
G0471,Gedung 0471
G0472,Gedung 0472
G0473,Gedung 0473
G0474,Gedung 0474
G0475,Gedung 0475
G0476,Gedung 0476
G0477,Gedung 0477
G0478,Gedung 0478
G0479,Gedung 0479
G0480,Gedung 0480
G0481,Gedung 0481
G0482,Gedung 0482
G0483,Gedung 0483
G0484,Gedung 0484
G0485,Gedung 0485
G0486,Gedung 0486
G0487,Gedung 0487
G0488,Gedung 0488
G0489,Gedung 0489
G0490,Gedung 0490
G0491,Gedung 0491
G0492,Gedung 0492
G0493,Gedung 0493
G0494,Gedung 0494
G0495,Gedung 0495
G0496,Gedung 0496
G0497,Gedung 0497
G0498,Gedung 0498
G0499,Gedung 0499
G0500,Gedung 0500
