gedung_asal,gedung_tujuan
G0035,G0081
G0035,G0091
G0035,G0103
G0035,G0330
G0036,G0056
G0036,G0074
G0036,G0131
G0036,G0221
G0036,G0328
G0036,G0373
G0036,G0443
G0037,G0064
G0038,G0069
G0038,G0360
G0038,G0366
G0038,G0394
G0039,G0047
G0039,G0282
G0039,G0432
G0040,G0060
G0040,G0137
G0040,G0169
G0040,G0366
G0041,G0059
G0041,G0101
G0041,G0108
G0041,G0138
G0041,G0155
G0042,G0097
G0042,G0171
G0042,G0277
G0042,G0326
G0042,G0340
G0043,G0196
G0044,G0146
G0046,G0079
G0046,G0160
G0047,G0050
G0047,G0076
G0048,G0078
G0048,G0172
G0048,G0289
G0048,G0412
G0049,G0073
G0049,G0090
G0049,G0259
G0050,G0260
G0051,G0112
G0051,G0168
G0051,G0267
G0051,G0285
G0052,G0102
G0052,G0128
G0052,G0206
G0052,G0365
G0053,G0455
G0054,G0058
G0054,G0390
G0055,G0125
G0055,G0201
G0055,G0244
G0055,G0394
G0055,G0454
G0056,G0062
G0056,G0271
G0056,G0306
G0056,G0491
G0057,G0061
G0057,G0130
G0057,G0226
G0058,G0218
G0058,G0431
G0059,G0075
G0059,G0114
G0059,G0224
G0059,G0232
G0060,G0089
G0060,G0198
G0060,G0393
G0061,G0240
G0062,G0182
G0062,G0184
G0062,G0333
G0063,G0234
G0063,G0253
G0064,G0111
G0064,G0217
G0064,G0369
G0065,G0145
G0066,G0284
G0066,G0443
G0067,G0420
G0068,G0158
G0068,G0197
G0068,G0354
G0068,G0371
G0069,G0086
G0069,G0121
G0069,G0150
G0069,G0391
G0069,G0411
G0071,G0078
G0072,G0094
G0072,G0120
G0072,G0241
G0072,G0276
G0073,G0106
G0075,G0124
G0075,G0127
G0076,G0102
G0076,G0153
G0076,G0336
G0076,G0441
G0077,G0164
G0077,G0434
G0078,G0083
G0079,G0181
G0079,G0356
G0080,G0208
G0080,G0308
G0080,G0397
G0080,G0464
G0081,G0323
G0081,G0377
G0082,G0084
G0082,G0092
G0082,G0460
G0082,G0488
G0083,G0113
G0083,G0176
G0083,G0423
G0084,G0110
G0084,G0467
G0085,G0237
G0085,G0298
G0086,G0291
G0087,G0220
G0087,G0338
G0088,G0096
G0088,G0151
G0089,G0093
G0090,G0316
G0091,G0113
G0091,G0470
G0092,G0107
G0092,G0134
G0092,G0474
G0093,G0129
G0093,G0180
G0094,G0278
G0096,G0119
G0096,G0123
G0096,G0170
G0096,G0212
G0096,G0327
G0098,G0131
G0098,G0142
G0098,G0258
G0098,G0274
G0098,G0309
G0099,G0141
G0099,G0205
G0099,G0216
G0099,G0273
G0100,G0295
G0101,G0187
G0103,G0209
G0103,G0498
G0105,G0348
G0105,G0404
G0108,G0221
G0108,G0401
G0108,G0451
G0109,G0139
G0109,G0200
G0110,G0262
G0110,G0295
G0110,G0362
G0110,G0368
G0112,G0154
G0112,G0311
G0113,G0213
G0114,G0497
G0115,G0117
G0115,G0126
G0116,G0215
G0116,G0413
G0117,G0156
G0119,G0197
G0120,G0143
G0121,G0147
G0121,G0331
G0121,G0385
G0122,G0194
G0122,G0252
G0122,G0255
G0122,G0290
G0122,G0465
G0123,G0321
G0123,G0351
G0125,G0188
G0125,G0205
G0125,G0243
G0126,G0177
G0126,G0244
G0126,G0374
G0127,G0133
G0127,G0335
G0127,G0431
G0128,G0272
G0128,G0281
G0128,G0286
G0128,G0453
G0128,G0486
G0129,G0159
G0129,G0410
G0130,G0161
G0130,G0166
G0131,G0132
G0132,G0239
G0133,G0214
G0133,G0385
G0134,G0347
G0135,G0422
G0136,G0144
G0136,G0173
G0136,G0198
G0136,G0302
G0136,G0352
G0136,G0370
G0136,G0392
G0136,G0407
G0137,G0190
G0137,G0487
G0138,G0149
G0139,G0172
G0139,G0202
G0139,G0245
G0140,G0172
G0140,G0398
G0141,G0195
G0141,G0226
G0142,G0146
G0142,G0223
G0142,G0327
G0142,G0415
G0143,G0169
G0143,G0180
G0143,G0279
G0145,G0399
G0146,G0185
G0146,G0376
G0147,G0156
G0147,G0250
G0147,G0304
G0148,G0251
G0151,G0222
G0151,G0225
G0152,G0310
G0152,G0357
G0154,G0175
G0154,G0357
G0154,G0388
G0154,G0461
G0155,G0292
G0155,G0381
G0156,G0167
G0156,G0199
G0157,G0421
G0158,G0445
G0159,G0260
G0159,G0345
G0161,G0163
G0161,G0224
G0161,G0316
G0161,G0320
G0161,G0350
G0162,G0230
G0162,G0346
G0162,G0359
G0163,G0305
G0164,G0165
G0164,G0458
G0165,G0239
G0167,G0211
G0168,G0207
G0169,G0193
G0170,G0472
G0170,G0481
G0171,G0418
G0171,G0477
G0172,G0210
G0172,G0242
G0174,G0270
G0176,G0403
G0177,G0205
G0177,G0223
G0179,G0372
G0180,G0236
G0182,G0229
G0182,G0262
G0182,G0456
G0183,G0207
G0184,G0450
G0186,G0247
G0187,G0204
G0187,G0446
G0190,G0375
G0190,G0438
G0194,G0203
G0195,G0299
G0195,G0347
G0196,G0492
G0197,G0254
G0200,G0301
G0201,G0254
G0203,G0353
G0205,G0348
G0206,G0296
G0207,G0256
G0207,G0269
G0207,G0332
G0208,G0281
G0209,G0257
G0209,G0292
G0209,G0461
G0210,G0342
G0211,G0264
G0211,G0480
G0212,G0472
G0213,G0234
G0215,G0341
G0217,G0263
G0217,G0277
G0217,G0305
G0217,G0414
G0218,G0399
G0219,G0259
G0219,G0428
G0221,G0236
G0221,G0261
G0221,G0442
G0225,G0378
G0226,G0249
G0227,G0283
G0227,G0346
G0227,G0425
G0227,G0457
G0229,G0281
G0230,G0275
G0231,G0244
G0232,G0234
G0233,G0303
G0235,G0358
G0235,G0362
G0237,G0280
G0238,G0342
G0240,G0248
G0240,G0265
G0241,G0496
G0243,G0407
G0245,G0320
G0247,G0294
G0249,G0267
G0249,G0293
G0250,G0307
G0251,G0409
G0258,G0321
G0259,G0408
G0260,G0369
G0261,G0325
G0261,G0329
G0262,G0311
G0264,G0340
G0266,G0357
G0267,G0474
G0268,G0345
G0271,G0384
G0272,G0287
G0272,G0322
G0275,G0432
G0276,G0367
G0276,G0413
G0277,G0287
G0278,G0314
G0279,G0379
G0280,G0435
G0282,G0284
G0283,G0426
G0283,G0440
G0284,G0387
G0284,G0396
G0285,G0306
G0287,G0458
G0288,G0429
G0289,G0364
G0290,G0344
G0292,G0334
G0296,G0461
G0297,G0313
G0297,G0336
G0297,G0403
G0298,G0493
G0299,G0343
G0299,G0439
G0300,G0319
G0305,G0329
G0305,G0337
G0310,G0400
G0311,G0336
G0313,G0436
G0314,G0382
G0314,G0418
G0318,G0325
G0318,G0339
G0318,G0462
G0319,G0363
G0323,G0454
G0325,G0406
G0325,G0413
G0327,G0421
G0331,G0356
G0335,G0383
G0337,G0342
G0340,G0389
G0340,G0435
G0341,G0482
G0341,G0486
G0342,G0386
G0342,G0454
G0343,G0349
G0343,G0482
G0344,G0355
G0344,G0378
G0350,G0452
G0352,G0369
G0352,G0405
G0354,G0433
G0357,G0368
G0360,G0490
G0361,G0380
G0362,G0427
G0368,G0402
G0369,G0457
G0374,G0403
G0377,G0408
G0377,G0484
G0378,G0475
G0380,G0424
G0380,G0482
G0381,G0395
G0381,G0442
G0384,G0463
G0385,G0458
G0387,G0487
G0393,G0399
G0395,G0419
G0395,G0441
G0396,G0496
G0400,G0457
G0401,G0478
G0404,G0489
G0408,G0447
G0410,G0468
G0411,G0481
G0412,G0491
G0416,G0469
G0416,G0485
G0419,G0499
G0420,G0488
G0426,G0465
G0428,G0437
G0435,G0470
G0440,G0495
G0441,G0448
G0443,G0466
G0443,G0483
G0447,G0493
G0448,G0460
G0450,G0497
G0452,G0471
G0453,G0459
G0462,G0492
G0471,G0500
G0474,G0476
G0477,G0479
